AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.46	0.49	0.42	0.4	0.4
CASG920101	-0.5	-0.7	-0.15	1.5499999999999998	0.45
CHAM830107	0.5	0.0	0.0	0.0	0.0
CHOP780201	0.77	0.94	0.89	0.89	0.8
CHOP780202	0.89	0.81	0.825	1.4	1.19
CHOP780203	1.44	1.19	0.95	0.74	0.97
CIDH920105	-0.77	-0.78	-0.3	1.175	0.18
DAYM780201	113.5	90.5	83.0	58.0	53.0
EISD860102	1.02	1.02	0.595	0.68	0.73
FASG760101	126.64	129.865	119.88	126.16	123.655
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.69	0.335	0.38	1.98	0.88
GRAR740102	10.4	10.125	9.375	5.35	7.05
JANJ780101	51.05	50.875	40.625	19.375	26.4
JANJ780102	29.0	31.25	38.75	69.5	55.0
JANJ780103	40.0	37.25	28.25	9.0	15.25
JOND750101	0.285	0.7150000000000001	0.87	2.33	1.19
JOND920102	97.5	85.0	84.0	73.5	62.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.8	5.85	5.52	2.09	3.905
KRIW790102	0.29	0.28500000000000003	0.25	0.11	0.18
KYTJ820101	-2.15	-2.675	-1.3	3.425	1.05
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	-0.47	-0.46	-0.025	2.465	0.94
RACS820114	17.314999999999998	20.98	20.59	25.43	21.47
RADA880108	-0.48	-0.5	-0.01	1.32	0.5
Sequence_size	4.0	6.0	4.0	2.0	6.0
TAKK010101	3.3	3.5	5.525	10.1	4.95
VINM940101	1.05	1.04	1.0	0.92	0.96
WARP780101	6.62	6.855	7.415	8.8	7.99
WOLR790101	-0.28500000000000003	-0.6	0.07	0.87	0.59
ZIMJ680101	0.29000000000000004	0.65	0.97	2.27	1.16
