AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.47	0.48	0.35	0.445	0.44
CASG920101	-0.1	-0.4	1.9	-0.1	0.125
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.83	0.855	0.7	0.77	0.87
CHOP780202	0.87	0.885	1.19	1.05	0.93
CHOP780203	0.995	1.01	0.96	0.98	0.96
CIDH920105	-0.41	-0.59	0.77	-0.09	-0.03
DAYM780201	56.0	85.5	20.0	49.0	56.0
EISD860102	0.99	1.11	0.17	0.73	0.74
FASG760101	121.15	126.16	121.15	121.15	126.16
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.75	0.69	1.0	1.0	0.88
GRAR740102	9.0	8.9	5.5	8.1	8.1
JANJ780101	42.0	43.85	15.5	30.32500000000001	29.475
JANJ780102	35.0	33.25	74.0	52.0	51.0
JANJ780103	32.0	32.0	5.0	18.0	16.25
JOND750101	0.87	0.76	1.52	1.52	1.2
JOND920102	72.0	81.5	44.0	54.0	63.5
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.775	5.484999999999999	1.73	5.16	4.85
KRIW790102	0.28	0.28	0.11	0.27	0.27
KYTJ820101	-0.7	-0.85	2.5	-0.4	-0.4
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	0.0	2.1	0.0	0.53
RACS820114	20.28	20.525	30.57	20.85	20.83
RADA880108	-0.405	-0.27	1.36	-0.05	-0.04
Sequence_size	7.0	6.0	1.0	5.0	12.0
TAKK010101	4.9	5.9	3.0	5.25	5.9
VINM940101	1.03	1.01	0.91	1.0	0.99
WARP780101	7.79	7.205	8.89	7.99	7.985
WOLR790101	0.54	-0.04	0.59	0.575	0.575
ZIMJ680101	0.83	0.73	1.48	1.4	1.16
