AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.46	0.47	0.35	0.47	0.44
CASG920101	-0.1	-0.5	1.9	-0.4	0.7
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.77	0.83	0.7	1.0	0.98
CHOP780202	1.06	0.83	1.19	0.97	1.19
CHOP780203	1.14	1.01	0.96	0.96	0.96
CIDH920105	-0.09	-0.09	0.77	-0.41	0.77
DAYM780201	56.0	56.0	20.0	66.0	49.0
EISD860102	1.2	1.0	0.17	1.2	1.0
FASG760101	131.17	121.15	121.15	132.12	131.17
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	1.0	1.0	1.0	0.75	1.0
GRAR740102	8.0	8.0	5.5	9.2	5.5
JANJ780101	42.0	45.0	15.5	46.35	24.5
JANJ780102	35.0	34.0	74.0	34.0	58.0
JANJ780103	32.0	32.0	5.0	33.0	10.0
JOND750101	1.52	1.52	1.52	0.85	1.52
JOND920102	72.0	72.0	44.0	83.0	51.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.37	5.37	1.73	5.66	3.31
KRIW790102	0.27	0.27	0.11	0.27	0.16
KYTJ820101	-0.8	-0.8	2.5	-1.3	2.5
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	-0.42	2.1	0.0	1.69
RACS820114	21.09	20.28	30.57	20.61	20.28
RADA880108	0.0	0.0	1.36	-0.27	1.21
Sequence_size	7.0	7.0	1.0	17.0	9.0
TAKK010101	6.9	10.5	3.0	7.3	4.4
VINM940101	1.03	1.04	0.91	1.01	0.93
WARP780101	7.79	7.79	8.89	7.08	7.99
WOLR790101	0.26	0.54	0.59	-0.05	0.67
ZIMJ680101	1.48	1.48	1.48	0.83	1.48
