AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.51	0.51	0.35	0.43	0.39
CASG920101	-0.1	-0.7	1.9	0.05	0.7
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.77	0.7	0.7	0.73	1.03
CHOP780202	0.75	0.75	1.19	0.79	1.25
CHOP780203	1.43	1.43	0.96	1.19	0.8
CIDH920105	-0.09	-0.8	0.77	-0.39	0.95
DAYM780201	96.0	56.0	20.0	74.5	60.5
EISD860102	0.18	0.18	0.17	0.09	0.73
FASG760101	105.09	115.13	121.15	97.09	126.16
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.75	0.59	1.0	0.38	2.05
GRAR740102	8.1	9.0	5.5	8.55	5.7
JANJ780101	27.8	42.0	15.5	26.15	24.6
JANJ780102	51.0	35.0	74.0	51.5	62.0
JANJ780103	15.0	32.0	5.0	12.5	14.0
JOND750101	0.87	0.67	1.52	0.48	2.02
JOND920102	100.0	58.0	44.0	75.0	70.5
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.37	6.09	1.73	4.85	3.31
KRIW790102	0.27	0.28	0.11	0.28	0.19
KYTJ820101	-0.4	-0.8	2.5	0.7	2.65
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	-0.42	2.1	0.42	2.04
RACS820114	20.28	30.57	30.57	24.56	21.87
RADA880108	-0.06	-0.41	1.36	-0.23	1.15
Sequence_size	7.0	9.0	1.0	4.0	12.0
TAKK010101	3.0	3.0	3.0	2.8	15.15
VINM940101	1.03	1.04	0.91	1.01	0.93
WARP780101	7.99	7.79	8.89	8.44	8.72
WOLR790101	0.59	0.54	0.59	0.85	0.63
ZIMJ680101	0.83	0.65	1.48	0.48	2.16
