AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.46	0.42	0.35	0.46	0.4
CASG920101	-0.1	-0.25	1.9	-0.4	0.3
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.7	0.98	0.7	0.77	0.77
CHOP780202	0.89	0.88	1.19	0.89	1.15
CHOP780203	1.01	1.01	0.96	1.01	0.98
CIDH920105	-0.41	-0.26	0.77	-0.41	0.18
DAYM780201	56.0	83.0	20.0	76.5	45.0
EISD860102	0.73	1.25	0.17	0.73	0.86
FASG760101	121.15	132.13	121.15	120.14	126.16
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.75	0.57	1.0	0.72	0.88
GRAR740102	9.0	9.5	5.5	9.1	7.05
JANJ780101	27.8	47.85	15.5	36.4	31.15
JANJ780102	51.0	33.5	74.0	43.5	50.5
JANJ780103	16.0	33.0	5.0	24.0	18.0
JOND750101	0.87	0.85	1.52	0.8	1.2
JOND920102	72.0	86.0	44.0	83.5	52.5
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	6.04	5.41	1.73	5.37	4.34
KRIW790102	0.28	0.27	0.11	0.27	0.22
KYTJ820101	-0.4	-1.95	2.5	-0.6	0.6
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	0.07	2.1	0.06	0.99
RACS820114	21.87	19.78	30.57	20.35	20.85
RADA880108	-0.41	-0.28	1.36	-0.45	0.41
Sequence_size	7.0	6.0	1.0	4.0	8.0
TAKK010101	4.4	5.65	3.0	4.95	5.45
VINM940101	1.01	1.01	0.91	1.01	0.97
WARP780101	7.99	7.25	8.89	7.54	8.03
WOLR790101	0.59	-0.42	0.59	0.27	0.28
ZIMJ680101	0.83	0.87	1.48	0.83	1.16
